#----------------------------------------------------------------------------
#
# Project      : Call To Power 2
# File type    : String text file
# Description  : Contains the records localized names (English)
# Id           : $Id:$
#
#----------------------------------------------------------------------------
#
# Disclaimer
#
# THIS FILE IS NOT GENERATED OR SUPPORTED BY ACTIVISION.
#
# This material has been developed at apolyton.net by the Apolyton CtP2 
# Source Code Project. Contact the authors at ctp2source@apolyton.net.
#
#----------------------------------------------------------------------------
#
# Remarks
#
# - This file contains all the localized names of the database records.
#   It contains nothing else.
# - The order of the strings has been synchronized in the English, French, 
#   German, Italian and Spanish version. This has not been done for the 
#   Japanese version, since that file is missing from the CTP2 source 
#   code project.
# - If you add new strings make sure that you add them at the same location
#   in every language version you have.
# - For easy comparison between the languages make sure that the number
#   of lines in each language file version is the same and that also the
#   comments are at the same place.
# - Keep also the indentation the same.
# - You may add comments after the last line of strings that are specific to 
#   one language only.
#
#----------------------------------------------------------------------------
#
# Modifications from the original Activision code:
#
# - Added CityMod2 age concept strings.
# - Added new age strings.
# - Added new city style strings.
# - Moved build list sequence strings from ldl_str.txt and add_str.txt.
#   - Mar. 7th 2005 Martin G¸hmann 
# - Moved risk strings from junk_str.txt. (Aug 31st 2005 Martin G¸hmann)
#
#----------------------------------------------------------------------------

#### ADVANCE STRINGS ####
ADVANCE_TOOLMAKING				"V˝roba N·stroju"
#CONCEPT_GIANT_SQUID				"Giant Squid"
#CONCEPT_WORMHOLE				"Wormhole"
#CONCEPT_ATTACK_ENEMY				"Attack Enemy"
#CONCEPT_CAPTURE_CITY				"000"
#CONCEPT_CEASE_FIRE				"Peace Treaty"
#CONCEPT_CIV_POINTS				"Civilization Points"
#CONCEPT_C_FIELD				"Containment Field"
#CONCEPT_DEMANDS				"Demand"
#CONCEPT_ECD					"ECD"
#CONCEPT_ECO_PACT				"Eco Pact"
#CONCEPT_ENTERTAINER				"Entertainer"
#CONCEPT_EXCHANGES				"Exchange"
#CONCEPT_E_TANK					"Embyro Tank"
#CONCEPT_GIFTS					"Gifts"
#CONCEPT_G_SPLICER				"Gene Splicer"
#CONCEPT_INCITE					"Incite"
#CONCEPT_LARORER				"Laborer"
#CONCEPT_LEAVE_MY_LANDS				"Stop Trespass"
#CONCEPT_MAINTENANCE_COST			"Maintenance Cost"
#CONCEPT_MERCHANT				"Merchant"
#CONCEPT_MONUMENT_SCREEN			"Monument Screen"
#CONCEPT_NO_PIRACY				"Stop Piracy"
#CONCEPT_REDUCE_POLLUTION			"Reduce Pollution"
#CONCEPT_RUSTLE					"r77"
#CONCEPT_SCIENTIST				"Scientist"
#CONCEPT_SPACE_COLONIES				"Space	Colony"
#CONCEPT_STOP_TRADE				"Stop Trade"
#CONCEPT_TRADE_UNITS				"Stealth Units"
#CONCEPT_X_LAB					"X-Lab"
CONCEPT_ACTIVE_DEFENSE				"AktivnÌ obrana"
CONCEPT_ADVANCES				"Objevy"
CONCEPT_ALLIANCE				"Aliance"
CONCEPT_ANCIENT_AGE				"StarovÏk"
CONCEPT_ATROCITY				"ZvÏrstvo"
CONCEPT_BARBARIANS				"Barba¯i"
CONCEPT_CAPITALIZATION				"Kapitalizace"
CONCEPT_CITY					"MÏsto"
CONCEPT_CLASSIC_AGE				"Klasick˝ vÏk"
CONCEPT_COMMERCE				"Obchod"
CONCEPT_COMPUTER_AGE				"InformaËnÌ vÏk"
CONCEPT_CRIME					"ZloËin"
CONCEPT_DEFENSE					"Obrana"
CONCEPT_DIAMOND_AGE				"Diamantov˝ vÏk"
CONCEPT_DIPLOMACY				"Diplomacie"
CONCEPT_DISBAND_CITY				"Zruöit mÏsto"
CONCEPT_EMBARGO					"Embargo"
CONCEPT_EMPIRE_SIZE				"Velikost ¯Ìöe"
CONCEPT_FOOD					"JÌdlo"
CONCEPT_FUEL					"Palivo"
CONCEPT_FUTURE_AGE				"Budoucnost"
CONCEPT_GENETIC_AGE				"Genetick˝ vÏk"
CONCEPT_GOLD					"Zlato"
CONCEPT_GOODS					"Suroviny"
CONCEPT_GOSSIP					"Drby"
CONCEPT_GOVERNMENTS				"Vl·da"
CONCEPT_GROWTH					"R˘st"
CONCEPT_HAPPINESS				"ätÏstÌ"
CONCEPT_IMPROVEMENTS				"VylepöenÌ"
CONCEPT_INDUSTRIAL_AGE				"Pr˘myslov˝ vÏk"
CONCEPT_INFRASTRUCTURE				"Infrastruktura"
CONCEPT_MAINTENANCE_COST			"N·klady na ˙drûbu"
CONCEPT_MEDIEVAL_AGE				"St¯edovÏk"
CONCEPT_MILITARY_READINESS			"Vojensk· p¯ipravenost"
CONCEPT_MODERN_AGE				"ModernÌ vÏk"
CONCEPT_OFFER					"NabÌdka"
CONCEPT_OVERCROWDING				"P¯elidnÏnÌ"
CONCEPT_POLLUTION				"ZneËiötÏnÌ"
CONCEPT_POPULATION				"Populace"
CONCEPT_PRODUCTION				"V˝roba"
CONCEPT_PUBLIC_WORKS				"Ve¯ejnÈ pr·ce"
CONCEPT_RATIONS					"P¯ÌdÏly"
CONCEPT_REGARD					"Postoj"
CONCEPT_RENAISSANCE_AGE				"Renesance"
CONCEPT_REQUEST					"é·dost"
CONCEPT_REVOLUTION				"Revoluce"
CONCEPT_RIOTS					"Nepokoje"
CONCEPT_RIVER					"ÿeky"
CONCEPT_RUINS					"Ruiny"
CONCEPT_RUSH_BUY				"Urychlen˝ n·kup"
CONCEPT_SCIENCE					"VÏda"
CONCEPT_SCIENCE_SETTING				"NastavenÌ vÏdy"
CONCEPT_SEA_COLONIES				"Mo¯sk· kolonie"
CONCEPT_SLAVE					"Otrok"
CONCEPT_SPECIAL_FORCES				"Speci·lnÌ jednotky"
CONCEPT_SPECIALISTS				"SpecialistÈ"
CONCEPT_STARVATION				"Hladomor"
CONCEPT_STEALTH_UNITS				"SkrytÈ jednotky"
CONCEPT_SUPPORT_COST				"N·klady na podporu"
CONCEPT_TERRAFORM				"P¯emÏna terÈnu"
CONCEPT_THREAT					"Hrozba"
CONCEPT_TILE_IMPROVEMENTS			"VylepöenÌ polÌËek"
CONCEPT_TONE					"TÛn"
CONCEPT_TRADE					"Obchod"
CONCEPT_TRADE_ROUTE				"ObchodnÌ cesta"
CONCEPT_TREATIES				"Smlouva"
CONCEPT_UNITS					"Jednotky"
CONCEPT_VETERANS				"Veter·ni"
CONCEPT_VICTORY_CONDITIONS			"VÌtÏzstvÌ ñ ObecnÈ"
CONCEPT_VICTORY_CONQUEST			"VÌtÏzstvÌ ñ KrveprolitÌ"
CONCEPT_VICTORY_DIPLOMATIC			"VÌtÏzstvÌ ñ DiplomatickÈ"
CONCEPT_VICTORY_PTS_AT_2300			"VÌtÏzstvÌ ñ Rok 2300"
CONCEPT_VICTORY_SCIENCE				"VÌtÏzstvÌ ñ Gaia Controller"
CONCEPT_VISION					"ZornÈ pole"
CONCEPT_WAGES					"Mzdy"
CONCEPT_WONDERS					"Divy"
CONCEPT_WORK_HOURS				"PracovnÌ doba"
CONCEPT_WORKER					"DÏlnÌk"


#### Pop STRINGS ####
POP_WORKER					"DelnÌk"
POP_SLAVE					"Otrok"
POP_BANKER					"ObchodnÌk"
POP_BARD					"KonferenciÈr"
POP_WISEMAN					"Vedec"
POP_FACTORY_GRUNT				"Laborant"

## REMOVE THE FOLLOWING:
POP_ACTOR					"KonferenciÈr"
POP_PHILOSOPHER					"Vedec"
POP_PROFESSOR					"Vedec"
POP_LIBRARIAN					"Vedec"
POP_PROGRAMMER					"vedect"
POP_MERCHANT					"ObchodnÌk"


#### TILE IMPROVEMENT STRINGS #######
TILEIMP_FARMS					"Farma"
TILEIMP_ADVANCED_FARMS				"PokroËil· farma"
TILEIMP_HYDROPONIC_FARMS			"Hydroponick· farma"
TILEIMP_MINES					"D˘l"
TILEIMP_ADVANCED_MINES				"PokroËil˝ d˘l"
TILEIMP_MEGA_MINES				"Megad˘l"
TILEIMP_TRADING_POST				"ObchodnÌ stanice"
TILEIMP_OUTLET_MALL				"ObchodnÌ centrum"
TILEIMP_NATURE_PRESERVE				"P¯ÌrodnÌ rezervace"
TILEIMP_NETS					"SÌte"
TILEIMP_FISHERIES				"Ryb·¯stvÌ"
TILEIMP_AUTOMATED_FISHERIES			"AutomatizovanÈ ryb·¯stvÌ"
TILEIMP_UNDERSEA_MINES				"Podmo¯sk˝ d˘l"
TILEIMP_ADVANCED_UNDERSEA_MINES			"PokroËil˝ podmo¯sk˝ d˘l"
TILEIMP_MEGA_UNDERSEA_MINES			"Podmo¯sk˝ megad˘l"
TILEIMP_PORT					"P¯Ìstav"
TILEIMP_DRILLING_PLATFORM			"Vrtn· ploöina"
TILEIMP_RUINS					"Ruiny"
TILEIMP_ROAD					"Cesta"
TILEIMP_RAILROAD				"éeleznice"
TILEIMP_MAGLEV					"Maglev"
TILEIMP_UNDERSEA_TUNNEL				"Podmo¯sk˝ tunel"
TILEIMP_LISTENING_POSTS				"Odposlechov· stanice"
TILEIMP_AIR_BASES				"Leteck· z·kladna"
TILEIMP_FORTIFICATIONS				"OpevnÏnÌ"
TILEIMP_RADAR_STATIONS				"Radarov· stanice"
TILEIMP_SONAR_BUOYS				"Sonarov· bÛje"
TILEIMP_PROCESSING_TOWER			"Obelisk"

#### Terraform Strings ####
TILEIMP_TERRAFORM_BROWN_HILL			"P¯emÏna terÈnu: pÌseËnÈ duny"
TILEIMP_TERRAFORM_BROWN_MOUNTAIN		"P¯emÏna terÈnu: pouötnÌ hora"
TILEIMP_TERRAFORM_DESERT			"P¯emÏna terÈnu: pouöù"
TILEIMP_TERRAFORM_FOREST			"P¯emÏna terÈnu: les"
TILEIMP_TERRAFORM_GRASSLAND			"P¯emÏna terÈnu: louka"
TILEIMP_TERRAFORM_HILL				"P¯emÏna terÈnu: kopec"
TILEIMP_TERRAFORM_JUNGLE			"P¯emÏna terÈnu: dûungle"
TILEIMP_TERRAFORM_MOUNTAIN			"P¯emÏna terÈnu: hora"
TILEIMP_TERRAFORM_PLAINS			"P¯emÏna terÈnu: pl·nÏ"
TILEIMP_TERRAFORM_SWAMP				"P¯emÏna terÈnu: baûina"
TILEIMP_TERRAFORM_WHITE_HILL			"P¯emÏna terÈnu: pol·rnÌ kopec"
TILEIMP_TERRAFORM_WHITE_MOUNTAIN		"P¯emÏna terÈnu: pol·rnÌ hora"

#### installations STRINGS ####
INSTALLATION_LISTENING_POSTS			"Odposlechov· stanice"
INSTALLATION_AIR_BASES				"Leteck· z·kladna"
INSTALLATION_FORTIFICATIONS			"OpevnÏnÌ"
INSTALLATION_RADAR_STATIONS			"Radarov· stanice"
INSTALLATION_SONAR_BUOYS			"Sonarov· bÛje"

#Unit Orders#
UNIT_ORDER_NONE					"é·dn˝"
UNIT_ORDER_MOVE					"P¯esun"
UNIT_ORDER_ENTRENCH				"Opevnit se"
UNIT_ORDER_SLEEP				"HlÌdka"

ORDER_ADVERTISE					"Reklama"
ORDER_ASSASSINATE				"Zavraûdit vl·dce"
ORDER_ATTACK					"⁄tok"
ORDER_BIO_INFECT				"Nakazit mÏsto"
ORDER_BOARD_TRANSPORT				"Naloûit"
ORDER_BOMBARD					"Bombardovat"
ORDER_CLEAR_TARGET				"Zruöit cÌl"
ORDER_CONVERT					"Obr·tit mÏsto"
ORDER_CREATE_PARK				"NanitovÈ ËiötÏnÌ"
ORDER_DISBAND_ARMY				"Zruöit jednotku"
ORDER_ESTABLISH_EMBASSY				"Z¯Ìdit velvyslanectvÌ"
ORDER_EXPEL					"Vyhostit jednotku"
ORDER_FAITH_HEALING				"LÈËenÌ vÌrou"
ORDER_FORTIFY					"Opevnit se"
ORDER_FRANCHISE					"FranöÌza"
ORDER_INCITE_REVOLUTION				"PodnÌtit revoluci"
ORDER_INCITE_UPRISING				"Podpo¯it povst·nÌ"
ORDER_INDULGENCE				"Prodat odpustky"
ORDER_INJOIN					"Podat ûalobu"
ORDER_INTERCEPT_TRADE				"Pir·tstvÌ"
ORDER_INVESTIGATE_CITY				"äpehovat"
ORDER_LAUNCH					"Odp·lit"
ORDER_NANO_INFECT				"Nano˙tok"
ORDER_PARADROP					"Seskok"
ORDER_PILLAGE					"Plenit"
ORDER_PLAGUE					"Mor"
ORDER_PLANT_NUKE				"UmÌstit jadernou bombu"
ORDER_RANGED_ATTACK				"⁄tok na d·lku"
ORDER_REFORM					"Reformovat mÏsto"
ORDER_REFUEL					"Doplnit palivo"
ORDER_SETTLE					"Usadit se"
ORDER_SETTLE_IN_CITY				"Usadit se ve mÏstÏ"
ORDER_SLAVE_RAID				"Zajmout otroky"
ORDER_SLEEP					"HlÌdka"
ORDER_SOOTHSAY					"VÏötit"
ORDER_SPACE_LAUNCH				"VesmÌrn˝ start"
ORDER_STEAL_TECHNOLOGY				"Ukr·st vyn·lez"
ORDER_SUE					"Zaûalovat"
ORDER_TARGET					"ZamÏ¯it jadernou bombu"
ORDER_THROW_PARTY				"Uspo¯·dat recepci"
ORDER_UNDERGROUND_RAILWAY			"Osvobodit otroka"
ORDER_UNLOAD					"Vyloûit"
ORDER_UPGRADE					"Vylepöit"

PERSONALITY_KAHN_DESCRIPTION			"Z·ke¯n˝, krveûÌzniv˝ vrah"
PERSONALITY_GHANDI_DESCRIPTION			"Diplomaticky zaloûen˝ mÌrotvorce"
PERSONALITY_STALIN_DESCRIPTION			"Izolacionistick˝, autokratick˝ militarista"
PERSONALITY_CEASAR_DESCRIPTION			"AgresivnÌ imperialista"
PERSONALITY_DEGAULLE_DESCRIPTION		"Uölechtil˝ vlastenec"
PERSONALITY_MEDICI_DESCRIPTION			"Vychytral˝ mezin·rodnÌ obchodnÌk"
PERSONALITY_TELLER_DESCRIPTION			"Ideologicky agresivnÌ akademik"
PERSONALITY_STRANGELOVE_DESCRIPTION		"Zl˝ gÈnius"
PERSONALITY_CALLENBACH_DESCRIPTION		"Populistick˝ fanatik"

### Age Strings ###

AGE_ONE						"Starobyl·"
AGE_TWO						"Klasick˝"
AGE_THREE					"St¯edovÏk"
AGE_FOUR					"Renezance"
AGE_FIVE					"Pr˘myslov˝"
AGE_SIX						"ModernÌ"
AGE_SEVEN					"InformaËnÌ vÏk"
AGE_EIGHT					"Genetick·"
AGE_NINE					"Diamantov·"
AGE_TEN						"Budoucnost"

### City Style Strings ###

CITY_STYLE_ROMAN				"ÿÌmsk˝ styl"
CITY_STYLE_ARAB					"Arabsk˝ styl"
CITY_STYLE_ASIAN				"Asijsk˝ styl"
CITY_STYLE_AMERICAN				"Americk˝ styl"
CITY_STYLE_CASTLE				"HradnÌ styl"
CITY_STYLE_EGYPTAIN				"Egyptsk˝ styl"
CITY_STYLE_PALACE				"Pal·cov˝ styl"

### Build Sequences from ldl_str.txt ###

BUILD_LIST_SEQUENCE_PRODUCTION			"V˝roba"
BUILD_LIST_SEQUENCE_GROWTH			"R˘st"
BUILD_LIST_SEQUENCE_OFFENSE			"⁄tok"
BUILD_LIST_SEQUENCE_DEFENSE			"Obrana"
BUILD_LIST_SEQUENCE_SCIENCE			"VÏda"
BUILD_LIST_SEQUENCE_GOLD			"Zlato"
BUILD_LIST_SEQUENCE_WONDERS			"Divy"
BUILD_LIST_SEQUENCE_HAPPINESS			"ätÏstÌ"
BUILD_LIST_SEQUENCE_DEFAULT			"V˝chozÌ"
BUILD_LIST_SEQUENCE_WONDERS_SCIENTIST		"Divy (VÏda)"
BUILD_LIST_SEQUENCE_WONDERS_MILITARIST		"Divy (Voj.)"
BUILD_LIST_SEQUENCE_WONDERS_ECONOMIC		"Divy (Ekon.)"
BUILD_LIST_SEQUENCE_WONDERS_ECOTOPIAN		"Divy (Ekot.)"
BUILD_LIST_SEQUENCE_WONDERS_DIPLOMATIC		"Divy (Dipl.)"
BUILD_LIST_SEQUENCE_BARBARIAN			"Jednotky"
BUILD_LIST_SEQUENCE_SMALL_CITIES		"Mal· mÏsta"
BUILD_LIST_SEQUENCE_SMALL_CITIES_UNITS		"Mal· mÏsta (jednotky)"
BUILD_LIST_SEQUENCE_CITIES_AT_MAX_SIZE		"MÏsta s maxim·lnÌ velikostÌ"
BUILD_LIST_SEQUENCE_DIRTY_CITIES		"ZneËiötÏnÌ"

##Risk strings moved from junk_str.txt ##
RISK_NO_DANGER_HERE				"é·dnÈ nebezpeËÌ"
RISK_VILLAGES_ONLY				"Pouze ruiny"
RISK_BORING_HORDES				"BanditÈ"
RISK_DECENT_HORDES				"N·jezdnÌci"
RISK_RAGING_HORDES				"PlenitelÈ"

## Generic difficulty strings for compatibility reasons ##
DIFFICULTY_0					"N·ËelnÌk"
DIFFICULTY_1					"Vojev˘dce"
DIFFICULTY_2					"Princ"
DIFFICULTY_3					"Kr·l"
DIFFICULTY_4					"CÌsa¯"
DIFFICULTY_5					"Boûstvo"

## Civlike difficulty strings ##
DIFFICULTY_SETTLER				"OsadnÌk"
DIFFICULTY_CHIEFTAIN			"N·ËelnÌk"
DIFFICULTY_WARLORD				"Vojev˘dce"
DIFFICULTY_PRINCE				"Princ"
DIFFICULTY_KING					"Kr·l"
DIFFICULTY_EMPEROR				"CÌsa¯"
DIFFICULTY_DEITY				"Boûstvo"

## Language strings ##
LANGUAGE_CHINESE				"»Ìnötina"
LANGUAGE_CZECH					"»esk˝"
LANGUAGE_ENGLISH				"Anglick˝"
LANGUAGE_FRENCH					"Francouzötina"
LANGUAGE_GERMAN					"NÏmËina"
LANGUAGE_ITALIAN				"Italötina"
LANGUAGE_JAPANESE				"Japonötina"
LANGUAGE_POLISH					"Polötina"
LANGUAGE_SPANISH				"äpanÏlötina"
